Nummer [ID];Feldname [key];Anzeige-Titel  [label];Multiplizität;Art des Feldes;Typ;Rolle;Export zu ISO;Andere Wege;Funktionsweise;Codelisten und Vorbelegungen;Hilfe-Button;Kopier-Button;Übernahme-Button;Übernahme-Button (Vorlage);Löschen Button
30;isoMetadata.contentDescription;Inhaltliche Beschreibung;0..1;Formularfeld;URL;"DHS
Redakteur";"ISO 283
(ISO 396-402)";;"Optionales Erfassen einer URL auf ein PDF-Dokument.
Die URL auf diese Ressource wird unter transfer-Options mit dem Code ""information"" und der Beschreibung ""Inhaltliche Beschreibung"" verlinkt.";"Vorbelegung ISO 401 - description: ""Inhaltliche Beschreibung""

Vorbelegung ISO 402 - function: ""information""";1;1;0;1;0
31;isoMetadata.technicalDescription;Technische Beschreibung;0..1;Formularfeld;URL;"DHS
Redakteur";"ISO 283
(ISO 396-402)";;"Optionales Erfassen einer URL auf ein PDF-Dokument.
Die URL auf diese Ressource wird unter transfer-Options mit dem Code ""information"" und der Beschreibung ""Technische Beschreibung"" verlinkt.";"Vorbelegung ISO 401 - description: ""Technische Beschreibung""

Vorbelegung ISO 402 - function: ""information""";1;1;0;1;0
32;isoMetadata.lineage;Herkunft der Daten;0..*;Bereich;Inkrement;"DHS
Redakteur";"entweder ISO 83 - statement
oder ISO 96 - sourceCitation";;Optionales Erfassen von keiner, einer oder mehreren Datengrundlagen.;;1;0;0;1;1
33;isoMetadata.lineage.title;Titel;k..1;Formularfeld;Freitextfeld/ Suchfeld/ Vorschlagsliste;"DHS
Redakteur";"ISO 96
360 - title";;Konditionales Feld in Abhängigkeit vom Feld Datengrundlage. Erfassen eines Datengrundlagen-Titels als Freitext oder Suchen und Übernahme eines Datenbestand-Titels aus dem bestehenden Katalog mittels Auswahl aus einer Vorschlagsliste. Die Übernahme wird nicht automatisch aktualisiert, wenn sich der eingetragene Datenbestand verändert.;;0;1;0;0;0
34;isoMetadata.lineage.date;Datum der Veröffentlichung;k..1;Formularfeld;Datumsauswahl;"DHS
Redakteur";"ISO 96
362 - date";;Konditionales Feld in Abhängigkeit vom Feld Datengrundlage. Erfassen des Datums der Veröffentlichung einer Datengrundlage. Wird bei Auswahl eines Datenbestandes aus dem eigenen Katalog automatisch übernommen. Die Übernahme wird nicht automatisch aktualisiert, wenn sich der eingetragene Datenbestand verändert.;;0;1;0;0;0
35;isoMetadata.lineage.identifier;Identifier;k..1;Formularfeld;URL mit Identifier;"DHS
Redakteur";"ISO 96
365 - identifier";;Konditionales Feld in Abhängigkeit vom Feld Datengrundlage. Erfassen des Identifiers bzw. eines eindeutigen Ressourcenaufrufs einer Datengrundlage. Wird bei Auswahl eines Datenbestandes aus dem eigenen Katalog automatisch übernommen bzw. erzeugt. Die Übernahme wird nicht automatisch aktualisiert, wenn sich der eingetragene Datenbestand verändert.;"Vorbelegung für Präfix des Identifiers unter ""registry"": https://github.com/gdi-be/mde-deployment/blob/main/codelists/metadatavariables.yaml";0;1;0;0;0
36;clientMetadata.relatedTopics;Verwandte Themen (MTK);0..1;Leseansicht;Freitextfeld;Redakteur;-;intern;Keine Erfassung im Formular möglich. Anzeige nur in der Leseansicht.;;0;0;0;0;0
41;isoMetadata.contentDescriptions;Weitere Informationen;0..*;Bereich;Inkrement;"DHS
Redakteur";ISO 283;;Optionales Erfassen von keinem, einem oder mehreren Verweisen auf weitere Quellen zu dem Datenbestand.;;1;0;0;1;1
42;isoMetadata.contentDescriptions.title;Titel;0..1;Formularfeld;Freitext;"DHS
Redakteur";ISO 401;;Erfassen eines Quellen-Titels als Freitext.;;0;1;0;0;0
43;isoMetadata.contentDescriptions.code;Code;0..1;Formularfeld;Auswahlliste;"DHS
Redakteur";ISO 402;;Erfassen der Funktion der angebebenen Quelle aus der ISO-Code-Auswahlliste.;Codeliste ISO 19115: B.5.3 CI_OnLineFunctionCode;0;1;0;0;0
